family,trial,n,edges,passes,kernel_n,DCR,NID,time_sec
ER_c2,0,800,834,6,398,0.4975,0.0002831664580725907,0.1883699893951416
ER_c2,1,800,786,11,383,0.47875,0.0002831664580725907,0.12552499771118164
ER_c2,2,800,801,8,378,0.4725,0.00031132665832290363,0.09703588485717773
ER_c2,3,800,766,9,350,0.4375,0.00030819774718397996,0.09316086769104004
ER_c2,4,800,776,8,356,0.445,0.00031289111389236547,0.08092021942138672
ER_c2,5,800,825,6,383,0.47875,0.0003097622027534418,0.07364988327026367
ER_c2,6,800,794,8,365,0.45625,0.00031914893617021275,0.15948009490966797
ER_c2,7,800,844,6,408,0.51,0.00028160200250312893,0.11000394821166992
ER_c2,8,800,778,8,381,0.47625,0.0002909887359198999,0.09047293663024902
ER_c2,9,800,839,8,413,0.51625,0.00027847309136420527,0.12493705749511719
ER_c2,10,800,786,7,382,0.4775,0.0002643929912390488,0.08406519889831543
ER_c2,11,800,807,5,374,0.4675,0.0003207133917396746,0.06016373634338379
ER_c2,12,800,794,6,379,0.47375,0.0002753441802252816,0.06748580932617188
ER_c2,13,800,855,6,409,0.51125,0.0003019399249061327,0.07563018798828125
ER_c2,14,800,788,7,366,0.4575,0.0002878598247809762,0.07375097274780273
ER_c2,15,800,803,6,382,0.4775,0.00030037546933667084,0.07049798965454102
ER_c2,16,800,762,7,332,0.415,0.0003207133917396746,0.06695985794067383
ER_c2,17,800,793,8,339,0.42375,0.00032384230287859825,0.07740092277526855
ER_c2,18,800,830,12,398,0.4975,0.0002800375469336671,0.13059091567993164
ER_c2,19,800,765,8,347,0.43375,0.00030037546933667084,0.07550621032714844
ER_c4,0,800,1553,3,719,0.89875,0.00010012515644555694,0.09301018714904785
ER_c4,1,800,1587,4,717,0.89625,8.60450563204005e-05,0.1175391674041748
ER_c4,2,800,1596,3,720,0.9,9.230287859824781e-05,0.09280800819396973
ER_c4,3,800,1561,4,722,0.9025,8.291614518147684e-05,0.15534591674804688
ER_c4,4,800,1620,3,731,0.91375,8.291614518147684e-05,0.09442782402038574
ER_c4,5,800,1621,3,729,0.91125,7.509386733416771e-05,0.09562087059020996
ER_c4,6,800,1610,3,727,0.90875,8.760951188986233e-05,0.0922551155090332
ER_c4,7,800,1555,4,719,0.89875,9.073842302878599e-05,0.12269711494445801
